source,target
Frank Sinatra,Perry Como
Frank Sinatra,Elvis Presley
Frank Sinatra,Billie Holiday
Frank Sinatra,Ray Charles
Frank Sinatra,Michael Bublé
Frank Sinatra,Andy Williams
Frank Sinatra,Doris Day
Frank Sinatra,Glenn Miller
Frank Sinatra,Stevie Wonder
Frank Sinatra,Paul Anka
Frank Sinatra,The Beach Boys
Frank Sinatra,Chuck Berry
Bill Withers,Al Green
Bill Withers,Curtis Mayfield
Bill Withers,Otis Redding
Bill Withers,Sly & The Family Stone
Bill Withers,Bobby Womack
Bill Withers,Isaac Hayes
Bill Withers,Sam Cooke
Bill Withers,Wilson Pickett
Bill Withers,Donny Hathaway
Bill Withers,Marvin Gaye
Bill Withers,The Isley Brothers
Bill Withers,Sam & Dave
Bill Withers,The Staple Singers
Bill Withers,The Temptations
Bill Withers,James Brown
Bill Withers,The Spinners
Bill Withers,Four Tops
Bill Withers,Stevie Wonder
Bill Withers,Smokey Robinson & The Miracles
Bill Withers,Ben E. King
Jess Glynne,Ella Eyre
Jess Glynne,Ella Henderson
Jess Glynne,Olly Murs
Jess Glynne,Rita Ora
Jess Glynne,Emeli Sandé
Jess Glynne,Rudimental
Jess Glynne,Clean Bandit
Jess Glynne,Sigala
Jess Glynne,Olly Alexander (Years & Years)
Jess Glynne,Mabel
Jess Glynne,Paloma Faith
Jess Glynne,Pixie Lott
Jess Glynne,Becky Hill
Jess Glynne,Louisa Johnson
Jess Glynne,Zara Larsson
Jess Glynne,Jax Jones
Jess Glynne,Fleur East
Jess Glynne,Anne-Marie
Jess Glynne,JP Cooper
Jess Glynne,Cheryl
David Guetta,Calvin Harris
David Guetta,Tiësto
David Guetta,Flo Rida
David Guetta,Avicii
David Guetta,Swedish House Mafia
David Guetta,Alesso
David Guetta,AFROJACK
David Guetta,Martin Garrix
David Guetta,LMFAO
David Guetta,Pitbull
David Guetta,Hardwell
David Guetta,Robin Schulz
David Guetta,Axwell /\ Ingrosso
David Guetta,Armin van Buuren
David Guetta,Dimitri Vegas & Like Mike
David Guetta,R3HAB
David Guetta,Galantis
David Guetta,Steve Aoki
David Guetta,Nicky Romero
David Guetta,Major Lazer
Sia,Ellie Goulding
Sia,Bebe Rexha
Sia,Clean Bandit
Sia,Jessie J
Sia,Lady Gaga
Sia,Rita Ora
Sia,Ava Max
Sia,Anne-Marie
